stocktype,stockdate,open_price,high_price,low_price,close_price,last_closing_price,percent_change
VTSMX,20141020,47.720001,47.720001,47.720001,47.720001,47.720001,0
VTSMX,20141021,48.669998,48.669998,48.669998,48.669998,47.720001,0.019907732
VTSMX,20141022,48.27,48.27,48.27,48.27,48.669998,-0.008218574
VTSMX,20141023,48.889999,48.889999,48.889999,48.889999,48.27,0.012844396
VTSMX,20141024,49.209999,49.209999,49.209999,49.209999,48.889999,0.006545306
VTSMX,20141027,49.130001,49.130001,49.130001,49.130001,49.209999,-0.001625645
VTSMX,20141028,49.790001,49.790001,49.790001,49.790001,49.130001,0.013433747
VTSMX,20141029,49.700001,49.700001,49.700001,49.700001,49.790001,-0.001807592
VTSMX,20141030,50.009998,50.009998,50.009998,50.009998,49.700001,0.006237364
VTSMX,20141031,50.619999,50.619999,50.619999,50.619999,50.009998,0.012197581
VTSMX,20141103,50.619999,50.619999,50.619999,50.619999,50.619999,0
VTSMX,20141104,50.439999,50.439999,50.439999,50.439999,50.619999,-0.003555907
VTSMX,20141105,50.700001,50.700001,50.700001,50.700001,50.439999,0.005154679
VTSMX,20141106,50.93,50.93,50.93,50.93,50.700001,0.004536469
VTSMX,20141107,50.959999,50.959999,50.959999,50.959999,50.93,0.000589024
VTSMX,20141110,51.119999,51.119999,51.119999,51.119999,50.959999,0.003139717
VTSMX,20141111,51.16,51.16,51.16,51.16,51.119999,0.000782492
VTSMX,20141112,51.169998,51.169998,51.169998,51.169998,51.16,0.000195426
VTSMX,20141113,51.150002,51.150002,51.150002,51.150002,51.169998,-0.000390776
VTSMX,20141114,51.16,51.16,51.16,51.16,51.150002,0.000195464
VTSMX,20141117,51.150002,51.150002,51.150002,51.150002,51.16,-0.000195426
VTSMX,20141118,51.43,51.43,51.43,51.43,51.150002,0.005474056
VTSMX,20141119,51.310001,51.310001,51.310001,51.310001,51.43,-0.002333249
VTSMX,20141120,51.470001,51.470001,51.470001,51.470001,51.310001,0.0031183
VTSMX,20141121,51.73,51.73,51.73,51.73,51.470001,0.005051467
VTSMX,20141124,51.93,51.93,51.93,51.93,51.73,0.003866228
VTSMX,20141125,51.889999,51.889999,51.889999,51.889999,51.93,-0.000770287
VTSMX,20141126,52.040001,52.040001,52.040001,52.040001,51.889999,0.002890769
VTSMX,20141128,51.84,51.84,51.84,51.84,52.040001,-0.003843217
VTSMX,20141201,51.41,51.41,51.41,51.41,51.84,-0.008294753
VTSMX,20141202,51.740002,51.740002,51.740002,51.740002,51.41,0.006419024
VTSMX,20141203,51.990002,51.990002,51.990002,51.990002,51.740002,0.004831851
VTSMX,20141204,51.919998,51.919998,51.919998,51.919998,51.990002,-0.00134649
VTSMX,20141205,52.029999,52.029999,52.029999,52.029999,51.919998,0.002118663
VTSMX,20141208,51.630001,51.630001,51.630001,51.630001,52.029999,-0.007687834
VTSMX,20141209,51.700001,51.700001,51.700001,51.700001,51.630001,0.001355801
VTSMX,20141210,50.82,50.82,50.82,50.82,51.700001,-0.017021296
VTSMX,20141211,51.060001,51.060001,51.060001,51.060001,50.82,0.00472257
VTSMX,20141212,50.27,50.27,50.27,50.27,51.060001,-0.015472013
VTSMX,20141215,49.919998,49.919998,49.919998,49.919998,50.27,-0.006962443
VTSMX,20141216,49.540001,49.540001,49.540001,49.540001,49.919998,-0.00761212
VTSMX,20141217,50.610001,50.610001,50.610001,50.610001,49.540001,0.021598708
VTSMX,20141218,51.77,51.77,51.77,51.77,50.610001,0.022920351
VTSMX,20141219,51.75,51.75,51.75,51.75,51.77,-0.000386324
VTSMX,20141222,51.950001,51.950001,51.950001,51.950001,51.75,0.003864754
VTSMX,20141223,52.040001,52.040001,52.040001,52.040001,51.950001,0.001732435
VTSMX,20141224,52.060001,52.060001,52.060001,52.060001,52.040001,0.00038432
VTSMX,20141226,52.259998,52.259998,52.259998,52.259998,52.060001,0.003841663
VTSMX,20141229,52.330002,52.330002,52.330002,52.330002,52.259998,0.001339533
VTSMX,20141230,52.09,52.09,52.09,52.09,52.330002,-0.004586317
VTSMX,20141231,51.580002,51.580002,51.580002,51.580002,52.09,-0.009790708
VTSMX,20150102,51.549999,51.549999,51.549999,51.549999,51.580002,-0.000581679
VTSMX,20150105,50.639999,50.639999,50.639999,50.639999,51.549999,-0.017652765
VTSMX,20150106,50.150002,50.150002,50.150002,50.150002,50.639999,-0.009676086
VTSMX,20150107,50.75,50.75,50.75,50.75,50.150002,0.011964067
VTSMX,20150108,51.639999,51.639999,51.639999,51.639999,50.75,0.017536926
VTSMX,20150109,51.220001,51.220001,51.220001,51.220001,51.639999,-0.008133191
VTSMX,20150112,50.830002,50.830002,50.830002,50.830002,51.220001,-0.007614194
